RANK,NAME,Team,POS,VALUE
162,Orlando Arcia,MIL,SS,7
163,DJ LeMahieu,COL,2B,7
164,Amed Rosario,NYM,SS,7
165,Zack Cozart,LAA,SS,7
166,Elvis Andrus,TEX,SS,7
167,Eugenio Suarez,CIN,3B,7
168,Justin Turner,LAD,3B,7
169,Maikel Franco,PHI,3B,7
170,Eduardo Nunez,BOS,2B/SS/ 3B/OF,7
171,Matt Carpenter,STL,1B/2B/ 3B,7
172,Kendrys Morales,TOR,1B,6
173,Bradley Zimmer,CLE,OF,6
174,Avisail Garcia,CHW,OF,6
175,Jay Bruce,NYM,1B/OF,6
176,Marwin Gonzalez,HOU,1B/2B/ SS/3B/ O,6
177,Ian Kinsler,LAA,2B,6
178,Scooter Gennett,CIN,2B/3B/ OF,6
179,Ryon Healy,SEA,1B/3B,6
180,Yuli Gurriel,HOU,1B,6
181,Justin Bour,MIA,1B,6
182,Jon Gray,COL,SP,6
183,Arodys Vizcaino,ATL,RP,6
184,Blake Snell,TB,SP,6
185,Chase Anderson,MIL,SP,6
186,Jameson Taillon,PIT,SP,6
187,Patrick Corbin,ARI,SP,6
188,Dylan Bundy,BAL,SP,5
189,Lance Lynn,MIN,SP,5
190,Gio Gonzalez,WSH,SP,5
191,Michael Fulmer,DET,SP,5
192,Hector Neris,PHI,RP,5
193,Adam Jones,BAL,OF,5
194,Yadier Molina,STL,C,5
195,Didi Gregorius,NYY,SS,5
196,Sean Doolittle,WSH,RP,5
197,Jonathan Villar,MIL,2B/OF,5
198,Jeurys Familia,NYM,RP,5
199,Brandon Morrow,CHC,RP,5
200,Mark Melancon,SF,RP,5
201,Kelvin Herrera,KC,RP,5
202,Kenta Maeda,LAD,SP,5
203,Andrelton Simmons,LAA,SS,4
204,Addison Russell,CHC,SS,4
205,Danny Duffy,KC,SP,4
206,Eric Thames,MIL,1B/OF,4
207,Albert Pujols,LAA,1B,4
208,Jacob Faria,TB,SP,4
209,C.J. Cron,TB,1B,4
210,Hanley Ramirez,BOS,1B,4
211,Chris Davis,BAL,1B,4
212,Jordan Montgomery,NYY,SP,4
213,Brett Gardner,NYY,OF,4
214,Trevor Williams,PIT,SP,4
215,Jason Kipnis,CLE,2B/OF,3
216,David Robertson,NYY,RP,3
217,Yonder Alonso,CLE,1B,3
218,Shin-Soo Choo,TEX,OF,3
219,Dexter Fowler,STL,OF,3
220,Corey Dickerson,PIT,OF,3
221,Jackie Bradley Jr.,BOS,OF,3
222,Brad Brach,BAL,RP,3
223,Mike Clevinger,CLE,SP,3
224,Delino DeShields,TEX,OF,3
225,David Peralta,ARI,OF,3
226,Aaron Hicks,NYY,OF,3
227,Hyun-Jin Ryu,LAD,SP,3
228,Lewis Brinson,MIA,OF,3
229,Welington Castillo,CHW,C,3
230,Vince Velasquez,PHI,SP,3
231,Alex Reyes,STL,SP,2
232,Sean Manaea,OAK,SP,2
233,Dinelson Lamet,SD,SP,2
234,Wilson Ramos,TB,C,2
235,Dellin Betances,NYY,RP,2
236,Lucas Giolito,CHW,SP,2
237,Cam Bedrosian,LAA,RP,2
238,Mike Zunino,SEA,C,2
239,Brad Boxberger,ARI,RP,2
240,Yangervis Solarte,TOR,2B/SS/ 3B,2
241,Eduardo Escobar,MIN,2B/SS/ 3B,2
242,Shohei Ohtani,LAA,DH,2
