RANK,NAME,TEAM,POS,AVG VALUE,AVG PICK
127,Willson Contreras, ChC,C,6.4,126.2
128,Cody Allen, Cle,RP,6.4,128.1
129,John Lackey, ChC,SP,6.6,130.7
130,Brandon Belt, SF,1B,6.4,130.7
131,Rich Hill, LAD,SP,6.4,134.5
132,Alex Colome, TB,RP,6.6,135
133,Michael Fulmer, Det,SP,6.4,136.3
134,Adrian Gonzalez, LAD,1B,6.1,136.7
135,Michael Brantley, Cle,LF,6.2,139
136,Adam Duvall, Cin,LF,5.5,139.5
137,Brad Miller, TB,SS,5.6,139.7
138,Elvis Andrus, Tex,SS,4.6,141.1
139,Eduardo Nunez, SF,SS,6.3,141.6
140,Odubel Herrera, Phi,CF,4.8,142.9
141,Kendrys Morales, Tor,DH,4.5,145.3
142,Kole Calhoun, LAA,RF,4.3,146.7
143,Matt Harvey, NYM,SP,6.2,147.5
144,Drew Smyly, Sea,SP,4.7,148.5
145,Carlos Gomez, Tex,CF,3.2,148.6
146,Dallas Keuchel, Hou,SP,4.7,149.2
147,David Robertson, CWS,RP,5.2,149.3
148,Ian Desmond, Col,CF,13.6,149.5
149,Javier Baez, ChC,2B,4.5,150
150,J.T. Realmuto, Mia,C,4.7,152.9
151,Aledmys Diaz, StL,SS,5.2,152.9
152,Jay Bruce, NYM,RF,4.4,154.5
153,Dexter Fowler, StL,CF,3.5,157.4
154,Jake Odorizzi, TB,SP,3.6,158
155,Dellin Betances, NYY,RP,4.2,158.5
156,Jake Lamb, Ari,3B,4.1,158.6
157,Tanner Roark, Wsh,SP,4.7,158.7
158,Jeff Samardzija, SF,SP,3.7,161.4
159,Drew Pomeranz, Bos,SP,4.9,161.4
160,Mike Napoli, Tex,1B,3.8,162.3
161,Yasmani Grandal, LAD,C,3.7,162.7
162,Steven Matz, NYM,SP,3.4,164.3
163,Maikel Franco, Phi,3B,3.3,164.3
164,Evan Gattis, Hou,C,3.6,164.9
165,Tony Watson, Pit,RP,4.8,165.4
166,A.J. Ramos, Mia,RP,4.4,167.8
167,Melky Cabrera, CWS,LF,2.5,168.1
168,Marco Estrada, Tor,SP,2.9,169.8
169,Jose Peraza, Cin,SS,5.1,170.3
170,Victor Martinez, Det,DH,3.9,170.5
171,Francisco Rodriguez, Det,RP,3.7,172.1
172,Joc Pederson, LAD,CF,3,173.2
173,Randal Grichuk, StL,CF,3.4,173.9
174,Carlos Beltran, Hou,RF,3.2,175.8
175,Dansby Swanson, Atl,SS,3.5,176.6
176,Salvador Perez, KC,C,3.2,177.2
177,Raisel Iglesias, Cin,RP,2.6,177.2
178,Matt Shoemaker, LAA,SP,1.8,177.9
179,Adam Wainwright, StL,SP,3.3,182.3
180,Curtis Granderson, NYM,RF,2.4,182.5
181,Jonathan Schoop, Bal,2B,2.7,182.8
182,Michael Pineda, NYY,SP,2.2,184.7
183,Nick Castellanos, Det,3B,2.4,185.5
184,Yadier Molina, StL,C,1.8,186.4
185,J.A. Happ, Tor,SP,2.6,186.6
186,Starlin Castro, NYY,2B,2.1,187
187,Jon Gray, Col,SP,2.4,187.3
188,Jacoby Ellsbury, NYY,CF,2,189.5
189,Brandon Crawford, SF,SS,2,190.5
190,Aaron Nola, Phi,SP,2.1,190.6
191,James Paxton, Sea,SP,2.1,191.2
192,Ender Inciarte, Atl,CF,1.9,193.3
193,Yasmany Tomas, Ari,RF,2.5,194.8
194,Byron Buxton, Min,CF,2,195
195,Mike Moustakas, KC,3B,1.6,196.5
196,Carlos Rodon, CWS,SP,1.9,196.6
197,Jim Johnson, Atl,RP,1.9,197.6
198,Lance McCullers, Hou,SP,1.7,198
199,Logan Forsythe, LAD,2B,3.2,200.9
200,Sam Dyson, Tex,RP,2.6,201.5
