"RANK, PLAYER",TEAM,AGE,ELIG.,POS,$10T,$12T,NAME,RANK,VALUE,POS
62. J.D. Martinez,DET,29,OF,OF20,$17 ,$19 , J.D. Martinez,62,19.00,OF20
63. Ian Kinsler,DET,34,2B,2B9,$17 ,$19 , Ian Kinsler,63,19.00,2B9
64. Zach Britton,BAL,29,RP,RP2,$17 ,$19 , Zach Britton,64,19.00,RP2
65. Stephen Strasburg,WAS,28,SP,SP15,$17 ,$19 , Stephen Strasburg,65,19.00,SP15
66. Jose Bautista,TOR,36,OF,OF21,$17 ,$19 , Jose Bautista,66,19.00,OF21
67. Jacob deGrom,NYM,28,SP,SP16,$16 ,$19 , Jacob deGrom,67,19.00,SP16
68. Aroldis Chapman,NYY,29,RP,RP3,$16 ,$18 , Aroldis Chapman,68,18.00,RP3
69. Adam Jones,BAL,31,OF,OF22,$16 ,$18 , Adam Jones,69,18.00,OF22
70. Carlos Santana,CLE,30,1B,1B11,$16 ,$18 , Carlos Santana,70,18.00,1B11
71. DJ LeMahieu,COL,28,2B,2B10,$15 ,$18 , DJ LeMahieu,71,18.00,2B10
72. Kyle Hendricks,CHC,27,SP,SP17,$15 ,$17 , Kyle Hendricks,72,17.00,SP17
73. Todd Frazier,CWS,31,3B,3B9,$15 ,$17 , Todd Frazier,73,17.00,3B9
74. Chris Davis,BAL,31,1B,1B12,$15 ,$17 , Chris Davis,74,17.00,1B12
75. Mark Trumbo,BAL,31,OF,OF23,$15 ,$17 , Mark Trumbo,75,17.00,OF23
76. Mark Melancon,SF,32,RP,RP4,$14 ,$17 , Mark Melancon,76,17.00,RP4
77. Hanley Ramirez,BOS,33,1B,1B13,$14 ,$16 , Hanley Ramirez,77,16.00,1B13
78. Jean Segura,SEA,27,2B/SS,2B11,$14 ,$16 , Jean Segura,78,16.00,2B11
79. Seung Hwan Oh,STL,34,RP,RP5,$14 ,$16 , Seung Hwan Oh,79,16.00,RP5
80. Kyle Schwarber,CHC,24,OF,OF24,$14 ,$16 , Kyle Schwarber,80,16.00,OF24
81. Masahiro Tanaka,NYY,28,SP,SP18,$14 ,$16 , Masahiro Tanaka,81,16.00,SP18
82. Alex Bregman,HOU,23,3B,3B10,$14 ,$16 , Alex Bregman,82,16.00,3B10
83. Roberto Osuna,TOR,22,RP,RP6,$13 ,$15 , Roberto Osuna,83,15.00,RP6
84. Jose Quintana,CWS,28,SP,SP19,$13 ,$15 , Jose Quintana,84,15.00,SP19
85. Stephen Piscotty,STL,26,OF,OF25,$13 ,$15 , Stephen Piscotty,85,15.00,OF25
