RANK,NAME,TEAM,VALUE,POS
143, Carlos Gomez,TEX,7.00	,OF
144, David Robertson,CWS,7.00	,RP
145, Jake Odorizzi,TB,8.00	,SP
146, Jay Bruce,NYM,7.00	,OF
147, J.T. Realmuto,MIA,7.00	,C
148, Victor Martinez,DET,7.00	,1B
149, Aledmys Diaz,STL,7.00	,SS
150, Ian Desmond,COL,7.00	,OF
151, Jake Lamb,ARI,7.00	,3B
152, Tanner Roark,WAS,7.00	,SP
153, Randal Grichuk,STL,6.00	,OF
154, Dexter Fowler,STL,6.00	,OF
155, Jeff Samardzija,SF,6.00	,SP
156, Dellin Betances,NYY,6.00	,RP
157, Yasmani Grandal,LAD,6.00	,C
158, Steven Matz,NYM,6.00	,SP
159, Joc Pederson,LAD,6.00	,OF
160, Evan Gattis,HOU,6.00	,C
161, Marco Estrada,TOR,6.00	,SP
162, Ben Zobrist,CHC,6.00	,2B OF
163, Dallas Keuchel,HOU,5.00	,SP
164, Nick Castellanos,DET,6.00	,3B
165, Eduardo Nunez,SF,6.00	,3B
166, Byron Buxton,MIN,5.00	,OF
167, Raisel Iglesias,CIN,5.00	,RP
168, Curtis Granderson,NYM,5.00	,OF
169, Felix Hernandez,SEA,6.00	,SP
170, Mike Napoli,TEX,5.00	,1B
171, Melky Cabrera,CWS,5.00	,OF
172, Jon Gray,COL,5.00	,SP
173, A.J. Ramos,MIA,4.00	,RP
174, Jacoby Ellsbury,NYY,4.00	,OF
175, David Price,BOS,11.00	,SP
176, Starlin Castro,NYY,4.00	,2B
177, Ender Inciarte,ATL,4.00	,OF
178, Aaron Nola,PHI,4.00	,SP
179, Matt Harvey,NYM,4.00	,SP
180, Francisco Rodriguez,DET,4.00	,RP
181, Salvador Perez,KC,4.00	,C
182, Carlos Beltran,HOU,4.00	,OF
183, James Paxton,SEA,4.00	,SP
184, Michael Pineda,NYY,4.00	,SP
185, Dansby Swanson,ATL,4.00	,SS
186, Jonathan Schoop,BAL,4.00	,2B
187, Tony Watson,PIT,4.00	,RP
188, Jose Peraza,CIN,4.00	,SS OF
189, Mike Moustakas,KC,4.00	,3B
190, J.A. Happ,TOR,4.00	,SP
191, Keon Broxton,MIL,3.00	,OF
192, Logan Forsythe,LAD,3.00	,2B
193, Jameson Taillon,PIT,3.00	,SP
194, Javier Baez,CHC,3.00	,2B 3B SS
195, Kevin Kiermaier,TB,3.00	,OF
196, Robbie Ray,ARI,3.00	,SP
197, Russell Martin,TOR,3.00	,C
198, Sean Manaea,OAK,3.00	,SP
199, Rajai Davis,OAK,3.00	,OF
200, Yulieski Gurriel,HOU,3.00	,3B
201, Adam Wainwright,STL,3.00	,SP
202, Jim Johnson,ATL,3.00	,RP
203, Yasmany Tomas,ARI,3.00	,OF
204, Brian McCann,HOU,3.00	,C
205, Brandon Crawford,SF,3.00	,SS
206, Taijuan Walker,ARI,3.00	,SP
207, Brett Gardner,NYY,3.00	,OF
208, Marcus Semien,OAK,3.00	,SS
209, Sonny Gray,OAK,3.00	,SP
210, Ryon Healy,OAK,3.00	,3B
211, Carlos Rodon,CWS,4.00	,SP
212, Eric Thames,MIL,3.00	,OF
213, Vince Velasquez,PHI,3.00	,SP
214, Tommy Joseph,PHI,3.00	,1B
215, Neil Walker,NYM,3.00	,2B
216, Nomar Mazara,TEX,3.00	,OF
217, Yasiel Puig,LAD,3.00	,OF
218, Drew Pomeranz,BOS,3.00	,SP
219, Eugenio Suarez,CIN,3.00	,3B
220, Yadier Molina,STL,3.00	,C
221, David Dahl,COL,3.00	,OF
222, Matt Moore,SF,3.00	,SP
223, Sam Dyson,TEX,3.00	,RP
224, Devon Travis,TOR,3.00	,2B
225, Domingo Santana,MIL,3.00	,OF
226, Ivan Nova,PIT,3.00	,SP
227, Jung Ho Kang,PIT,3.00	,3B
228, Greg Bird,NYY,1.00	,1B
229, Anthony DeSclafani,CIN,3.00	,SP
230, Eduardo Rodriguez,BOS,2.00	,SP
231, Matt Wieters,WAS,2.00	,C
232, Manuel Margot,SD,2.00	,OF
233, Jedd Gyorko,STL,2.00	,2B 3B SS
234, Hisashi Iwakuma,SEA,2.00	,SP
235, Brandon Maurer,SD,2.00	,RP
236, Brandon Phillips,ATL,2.00	,2B
237, Ian Kennedy,KC,2.00	,SP
238, C.J. Cron,LAA,3.00	,1B
239, Welington Castillo,BAL,2.00	,C
240, Hunter Pence,SF,2.00	,OF
241, Neftali Feliz,MIL,2.00	,RP
242, Tim Anderson,CWS,2.00	,SS
243, Josh Harrison,PIT,2.00	,2B
244, Julio Urias,LAD,2.00	,SP
245, Joe Ross,WAS,2.00	,SP
246, Hector Neris,PHI,2.00	,RP
247, Jose Reyes,NYM,2.00	,3B
248, Max Kepler,MIN,2.00	,OF
249, Gio Gonzalez,WAS,2.00	,SP
250, Asdrubal Cabrera,NYM,2.00	,SS
251, Stephen Vogt,OAK,1.00	,C
252, Jason Heyward,CHC,1.00	,OF
253, Garrett Richards,LAA,1.00	,SP
254, David Peralta,ARI,1.00	,OF
255, Zach Davies,MIL,1.00	,SP
256, Brandon Drury,ARI,1.00	,3B OF
257, Didi Gregorius,NYY,3.00	,SS
258, Adam Ottavino,COL,1.00	,RP
259, Michael Wacha,STL,1.00	,SP
260, Addison Reed,NYM,1.00	,RP
261, Michael Conforto,NYM,1.00	,OF
262, Orlando Arcia,MIL,1.00	,SS
263, Ryan Madson,OAK,1.00	,RP
264, Joe Panik,SF,1.00	,2B
265, Jharel Cotton,OAK,1.00	,SP
266, Martin Prado,MIA,1.00	,3B
267, Justin Bour,MIA,1.00	,1B
268, Jarrod Dyson,SEA,1.00	,OF
269, Blake Snell,TB,1.00	,SP
270, Cesar Hernandez,PHI,1.00	,2B
271, Yangervis Solarte,SD,1.00	,3B
272, Mitch Moreland,BOS,1.00	,1B
273, Mitch Haniger,SEA,1.00	,OF
274, Alcides Escobar,KC,1.00	,SS
275, Ben Revere,LAA,1.00	,OF
276, Josh Bell,PIT,1.00	,1B
277, Jerad Eickhoff,PHI,1.00	,SP
278, Mike Zunino,SEA,1.00	,C
279, Cam Bedrosian,LAA,1.00	,RP
280, Hunter Renfroe,SD,1.00	,OF
281, Jason Hammel,KC,1.00	,SP
282, Francisco Cervelli,PIT,1.00	,C
283, Josh Reddick,HOU,1.00	,OF
284, Kevin Pillar,TOR,1.00	,OF
285, Mike Foltynewicz,ATL,1.00	,SP
286, Jorge Soler,KC,1.00	,OF
287, Corey Dickerson,TB,1.00	,OF
288, Chris Owings,ARI,1.00	,SS
289, Pedro Alvarez,BAL,1.00	,1B
290, Chris Tillman,BAL,1.00	,SP
291, Wilson Ramos,TB,1.00	,C
292, Pablo Sandoval,BOS,1.00	,3B
293, Steven Souza Jr.,TB,1.00	,OF
294, Fernando Rodney,ARI,1.00	,RP
295, Dylan Bundy,BAL,1.00	,RP
296, Chris Carter,NYY,1.00	,1B
297, Tyler Glasnow,PIT,1.00	,SP
298, Yoan Moncada,CWS,1.00	,3B
299, Alex Cobb,TB,1.00	,SP
300, Cameron Maybin,LAA,0.00	,OF
